"numero","nome"
654,"Banco A.J.Renner S.A."
246,"Banco ABC Brasil S.A."
25,"Banco Alfa S.A."
641,"Banco Alvorada S.A."
213,"Banco Arbi S.A."
19,"Banco Azteca do Brasil S.A."
29,"Banco Banerj S.A."
0,"Banco Bankpar S.A."
740,"Banco Barclays S.A."
107,"Banco BBM S.A."
31,"Banco Beg S.A."
739,"Banco BGN S.A."
96,"Banco BM&F de Serviços de Liquidação e Custódia S."
318,"Banco BMG S.A."
752,"Banco BNP Paribas Brasil S.A."
248,"Banco Boavista Interatlântico S.A."
218,"Banco Bonsucesso S.A."
65,"Banco Bracce S.A."
36,"Banco Bradesco BBI S.A."
204,"Banco Bradesco Cartões S.A."
394,"Banco Bradesco Financiamentos S.A."
237,"Banco Bradesco S.A."
225,"Banco Brascan S.A."
208,"Banco BTG Pactual S.A."
44,"Banco BVA S.A."
263,"Banco Cacique S.A."
473,"Banco Caixa Geral - Brasil S.A."
412,"Banco Capital S.A."
40,"Banco Cargill S.A."
745,"Banco Citibank S.A."
241,"Banco Clássico S.A."
215,"Banco Comercial e de Investimento Sudameris S.A."
756,"Banco Cooperativo do Brasil S.A. - BANCOOB"
748,"Banco Cooperativo Sicredi S.A."
75,"Banco CR2 S.A."
721,"Banco Credibel S.A."
222,"Banco Credit Agricole Brasil S.A."
505,"Banco Credit Suisse (Brasil) S.A."
229,"Banco Cruzeiro do Sul S.A."
266,"Banco Cédula S.A."
3,"Banco da Amazônia S.A."
833,"Banco da China Brasil S.A."
707,"Banco Daycoval S.A."
300,"Banco de La Nacion Argentina"
495,"Banco de La Provincia de Buenos Aires"
494,"Banco de La Republica Oriental del Uruguay"
24,"Banco de Pernambuco S.A. - BANDEPE"
456,"Banco de Tokyo-Mitsubishi UFJ Brasil S.A."
214,"Banco Dibens S.A."
1,"Banco do Brasil S.A."
47,"Banco do Estado de Sergipe S.A."
37,"Banco do Estado do Pará S.A."
39,"Banco do Estado do Piauí S.A. - BEP"
41,"Banco do Estado do Rio Grande do Sul S.A."
4,"Banco do Nordeste do Brasil S.A."
265,"Banco Fator S.A."
224,"Banco Fibra S.A."
626,"Banco Ficsa S.A."
233,"Banco GE Capital S.A."
734,"Banco Gerdau S.A."
612,"Banco Guanabara S.A."
63,"Banco Ibi S.A. Banco Múltiplo"
604,"Banco Industrial do Brasil S.A."
320,"Banco Industrial e Comercial S.A."
653,"Banco Indusval S.A."
630,"Banco Intercap S.A."
779,"Banco Intermedium S.A."
249,"Banco Investcred Unibanco S.A."
184,"Banco Itaú BBA S.A."
479,"Banco ItaúBank S.A"
376,"Banco J. P. Morgan S.A."
74,"Banco J. Safra S.A."
217,"Banco John Deere S.A."
76,"Banco KDB S.A."
757,"Banco KEB do Brasil S.A."
600,"Banco Luso Brasileiro S.A."
212,"Banco Matone S.A."
389,"Banco Mercantil do Brasil S.A."
746,"Banco Modal S.A."
738,"Banco Morada S.A."
66,"Banco Morgan Stanley S.A."
243,"Banco Máxima S.A."
45,"Banco Opportunity S.A."
623,"Banco Panamericano S.A."
611,"Banco Paulista S.A."
613,"Banco Pecúnia S.A."
942,"Banco Petra S.A."
643,"Banco Pine S.A."
724,"Banco Porto Seguro S.A."
735,"Banco Pottencial S.A."
638,"Banco Prosper S.A."
747,"Banco Rabobank International Brasil S.A."
884,"Banco Randon S.A."
356,"Banco Real S.A."
633,"Banco Rendimento S.A."
741,"Banco Ribeirão Preto S.A."
72,"Banco Rural Mais S.A."
453,"Banco Rural S.A."
422,"Banco Safra S.A."
33,"Banco Santander (Brasil) S.A."
250,"Banco Schahin S.A."
743,"Banco Semear S.A."
749,"Banco Simples S.A."
366,"Banco Société Générale Brasil S.A."
637,"Banco Sofisa S.A."
12,"Banco Standard de Investimentos S.A."
464,"Banco Sumitomo Mitsui Brasileiro S.A."
825,"Banco Topázio S.A."
634,"Banco Triângulo S.A."
655,"Banco Votorantim S.A."
610,"Banco VR S.A."
370,"Banco WestLB do Brasil S.A."
21,"BANESTES S.A. Banco do Estado do Espírito Santo"
719,"Banif-Banco Internacional do Funchal (Brasil)S.A."
755,"Bank of America Merrill Lynch Banco Múltiplo S.A."
744,"BankBoston N.A."
73,"BB Banco Popular do Brasil S.A."
78,"BES Investimento do Brasil S.A.-Banco de Investime"
69,"BPN Brasil Banco Múltiplo S.A."
70,"BRB - Banco de Brasília S.A."
922,"Brickell S.A. Crédito, financiamento e Investiment"
104,"Caixa Econômica Federal"
477,"Citibank N.A."
817,"Concórdia Banco S.A."
973,"Cooperativa Central de Crédito Noroeste Brasileiro"
85,"Cooperativa Central de Crédito Urbano-CECRED"
99,"Cooperativa Central de Economia e Credito Mutuo da"
90,"Cooperativa Central de Economia e Crédito Mutuo da"
892,"Cooperativa de Crédito Rural da Região de Mogiana"
876,"Cooperativa Unicred Central Santa Catarina"
981,"Credicorol Cooperativa de Crédito Rural"
487,"Deutsche Bank S.A. - Banco Alemão"
751,"Dresdner Bank Brasil S.A. - Banco Múltiplo"
64,"Goldman Sachs do Brasil Banco Múltiplo S.A."
62,"Hipercard Banco Múltiplo S.A."
399,"HSBC Bank Brasil S.A. - Banco Múltiplo"
168,"HSBC Finance (Brasil) S.A. - Banco Múltiplo"
492,"ING Bank N.V."
652,"Itaú Unibanco Holding S.A."
341,"Itaú Unibanco S.A."
79,"JBS Banco S.A."
488,"JPMorgan Chase Bank"
14,"Natixis Brasil S.A. Banco Múltiplo"
753,"NBC Bank Brasil S.A. - Banco Múltiplo"
868,"OBOE Crédito Financiamento e Investimento S.A."
254,"Paraná Banco S.A."
409,"UNIBANCO - União de Bancos Brasileiros S.A."
230,"Unicard Banco Múltiplo S.A."
914,"Unicred Central do Rio Grande do Sul"
84,"Unicred Norte do Paraná"
247,"Banco Itaú S.A."
